block,trial,disk1_init,disk2_init,disk3_init,disk4_init,disk1_target,disk2_target,disk3_target,disk4_target,n_moves
practice,1,J1,J2,J3,nodisk,L1,L2,L3,nodisk,7
test,1,K1,J1,J2,J3,K1,K2,K3,K4,7
