block,block_n,word_n,trial,stim_fr,stim_eng,animal,color,country,fruit,body,family,cat_to_memorize1,cat_to_memorize2,cat_to_memorize3,cat_to_memorize4,cat_to_memorize5
test,9,4,4,violet,purple,NA,purple,NA,NA,elbow,NA,fruit,color,body,country,NA
test,9,4,5,Brésil,Brazil,NA,purple,Brazil,NA,elbow,NA,fruit,color,body,country,NA
test,9,4,6,melon,melon,NA,purple,Brazil,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,7,loup,wolf,NA,purple,Brazil,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,8,Australie,Australia,NA,purple,Australia,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,9,vert,green,NA,green,Australia,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,10,lapin,rabbit,NA,green,Australia,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,11,blanc,white,NA,white,Australia,melon,elbow,NA,fruit,color,body,country,NA
test,9,4,12,bouche,mouth,NA,white,Australia,melon,mouth,NA,fruit,color,body,country,NA
test,10,4,1,main,hand,NA,NA,NA,NA,hand,NA,color,family,country,body,NA
test,10,4,2,coude,elbow,NA,NA,NA,NA,elbow,NA,color,family,country,body,NA
test,10,4,3,ours,bear,NA,NA,NA,NA,elbow,NA,color,family,country,body,NA
test,10,4,4,fraise,strawberry,NA,NA,NA,NA,elbow,NA,color,family,country,body,NA
test,10,4,5,rouge,red,NA,red,NA,NA,elbow,NA,color,family,country,body,NA
test,10,4,6,jambe,leg,NA,red,NA,NA,leg,NA,color,family,country,body,NA
test,10,4,7,vert,green,NA,green,NA,NA,leg,NA,color,family,country,body,NA
test,10,4,8,blanc,white,NA,white,NA,NA,leg,NA,color,family,country,body,NA
test,10,4,9,pomme,apple,NA,white,NA,NA,leg,NA,color,family,country,body,NA
test,10,4,10,lapin,rabbit,NA,white,NA,NA,leg,NA,color,family,country,body,NA
test,10,4,11,Chine,China,NA,white,China,NA,leg,NA,color,family,country,body,NA
test,10,4,12,Italie,Italy,NA,white,Italy,NA,leg,NA,color,family,country,body,NA
test,11,5,1,père,father,NA,NA,NA,NA,NA,father,animal,color,fruit,family,country
test,11,5,2,lapin,rabbit,rabbit,NA,NA,NA,NA,father,animal,color,fruit,family,country
test,11,5,3,pomme,apple,rabbit,NA,NA,apple,NA,father,animal,color,fruit,family,country
test,11,5,4,tante,aunt,rabbit,NA,NA,apple,NA,aunt,animal,color,fruit,family,country
test,11,5,5,soeur,sister,rabbit,NA,NA,apple,NA,sister,animal,color,fruit,family,country
test,11,5,6,banane,banana,rabbit,NA,NA,banana,NA,sister,animal,color,fruit,family,country
test,11,5,7,fraise,strawberry,rabbit,NA,NA,strawberry,NA,sister,animal,color,fruit,family,country
test,11,5,8,bouche,mouth,rabbit,NA,NA,strawberry,NA,sister,animal,color,fruit,family,country
