block,block_n,block_type,trial,position_visual,position_auditory,congruence,correct_resp,ITI,ITI_frame60hz
practice,0,visual,1,left,left,congruent,d,2.1,126.0
test,1,visual,1,left,right,incongruent,d,2.2,132.0
test,1,visual,2,right,right,congruent,k,2.1,126.0
test,2,auditory,47,right,right,congruent,k,2.2,132.0
test,2,auditory,48,left,left,congruent,d,2.5,150.0
