block,block_n,trial,stimulus,correct_resp,isi,isi_frame60hz
practice,1,1,left_arrow.png,left,2.7776,166
test,1,20,left_arrow.png,left,2.7776,166
test,2,1,left_arrow.png,left,2.111,127
