block,block_n,trial,stimulus,correct_resp,ISI,ISI_60Hz
practice,1,1,ressources/go.png,space,0.6,36
test,1,50,ressources/go.png,space,0.6,36
test,2,1,ressources/go.png,space,0.4,24
test,3,50,ressources/nogo.png,NA,0.6,36
test,4,1,ressources/go.png,space,0.5,30
